frame_idx,x,y,z
0,0.000000,0.000000,0.000000
1,-0.332707,0.292299,0.896586
2,-0.498229,0.235617,1.881162
3,-0.579303,0.130926,2.872357
4,-0.594137,0.033654,3.867504
5,-1.403671,0.459690,4.271420
6,-1.072570,0.207357,5.180651
7,-1.585575,1.007378,5.491765
8,-1.760434,1.327291,6.422937
9,-1.711477,1.539073,7.399027
10,-2.033980,1.445663,8.340975
11,-2.410085,1.329214,9.260205
12,-2.112234,1.367051,10.214068
13,-1.821703,1.321316,11.169839
14,-2.418213,1.718262,11.867413
15,-2.514239,1.707873,12.862738
16,-2.653344,1.864393,13.840567
17,-2.143493,2.668118,14.147289
18,-2.257561,2.428045,15.111319
19,-2.074008,2.286336,16.084061
20,-2.243985,2.276190,17.069457
21,-2.371072,2.208697,18.059049
22,-2.854783,2.283568,18.931069
23,-3.082807,2.495363,19.881410
24,-3.440645,2.504222,20.815151
25,-3.011134,2.367979,21.707876
26,-2.795693,2.634251,22.647389
27,-2.074116,2.437350,23.311133
28,-2.286393,2.549008,24.281943
29,-2.355516,2.388750,25.266595
30,-1.365322,2.485115,25.367739
31,-1.206173,1.569563,25.737112
32,-1.489748,1.847499,26.654901
33,-1.593641,1.044753,27.242101
34,-0.888227,0.648805,27.829992
35,-1.327582,0.687759,26.932524
36,-1.585435,0.851504,27.884732
37,-2.007734,0.372077,27.115438
38,-1.604214,0.216671,26.213761
39,-1.270244,-0.135908,25.339603
40,-0.492569,-0.581190,24.895819
41,-0.544801,-1.093674,24.038712
42,-0.551011,-2.058904,23.777382
43,-0.412941,-2.532619,22.907594
44,-0.074259,-2.564182,21.967223
45,0.195715,-2.797669,21.033093
46,-0.326853,-2.753873,20.181621
47,-0.121767,-2.869999,19.209791
48,0.138600,-3.070046,18.265232
49,0.256519,-2.940716,17.280667
50,0.378996,-2.824147,16.295065
51,0.771773,-3.699484,16.013084
52,1.311624,-4.013190,15.231964
53,1.517429,-4.150702,14.263080
54,2.073540,-4.941866,14.008522
55,2.303435,-4.988071,13.036404
56,2.515602,-5.297572,12.109477
57,2.815264,-5.267429,11.155907
58,3.440863,-5.262927,11.936039
59,4.183703,-5.932154,11.918001
60,4.359286,-5.731765,10.954146
61,4.418508,-5.483746,9.987203
62,4.742824,-5.303361,9.058613
63,5.219126,-5.597338,8.229930
64,5.615507,-5.762124,7.326754
65,6.072506,-5.945224,6.456337
66,6.797779,-6.616755,6.608080
67,7.329593,-7.449236,6.763478
68,7.553555,-7.616595,5.803357
69,8.267819,-8.287153,6.003800
70,8.402637,-8.291585,5.012940
71,8.713577,-8.325202,4.063105
72,8.090863,-8.285552,4.844549
73,8.599136,-8.401048,3.991133
74,9.216341,-8.786371,3.305142
75,9.692932,-9.559217,2.886130
76,10.131914,-10.329602,2.423744
77,9.700034,-9.642881,1.839028
78,10.046635,-9.746422,0.906748
79,10.103946,-10.720465,0.687759
80,10.127110,-10.386023,-0.254372
81,10.339759,-10.456868,-1.228929
82,10.803706,-9.792532,-1.814941
83,11.592825,-9.204826,-1.993526
84,11.775341,-9.243682,-2.975960
85,11.960573,-9.359722,-3.951780
86,12.177027,-9.346658,-2.975575
87,11.976837,-9.434512,-1.999764
88,11.229786,-9.042786,-1.462675
89,10.630868,-8.439366,-0.936194
90,10.400777,-8.144864,-0.008656
91,10.532029,-7.185229,0.240088
92,10.325865,-7.235486,1.217314
93,10.109237,-7.136030,2.188489
94,9.813099,-7.226751,3.139316
95,10.002290,-7.461574,4.092765
96,9.935460,-7.125188,5.032115
97,9.232262,-7.137984,5.742994
98,8.678709,-6.316120,5.877601
99,8.218620,-6.121217,6.743817
100,8.379896,-6.053840,5.759211
101,8.089424,-6.768016,6.396061
102,7.669406,-6.614312,7.290466
103,7.394306,-6.638410,8.251580
104,7.186689,-6.687312,9.228567
105,7.029561,-6.723673,10.215476
106,7.584946,-6.831568,11.040040
107,7.771086,-7.477694,11.780224
108,7.758181,-7.350983,12.772080
109,7.577279,-7.325981,13.755263
110,8.241775,-7.026614,14.439970
111,7.305010,-6.693253,14.546466
112,7.105941,-6.483686,15.503781
113,6.319117,-6.674789,16.090627
114,6.106581,-6.263570,16.977040
115,6.752925,-6.408164,17.726261
116,6.363448,-6.398896,18.647251
117,6.052424,-6.365498,19.597066
118,5.764058,-5.778792,20.353783
119,5.419545,-5.634249,21.281370
120,5.093317,-5.508016,22.218195
121,5.066446,-5.428645,23.214678
122,5.696549,-4.878360,23.762542
123,6.439623,-5.215558,23.184495
124,6.048358,-4.943566,24.063661
125,5.571204,-4.594462,24.870165
126,5.256570,-4.408692,25.801023
127,5.557245,-5.359657,25.873545
128,4.613949,-5.038519,25.789506
129,4.632301,-5.982688,25.460558
130,4.664366,-6.563426,24.647099
131,4.937568,-6.982730,23.781337
132,5.045684,-7.120357,22.796771
133,5.220784,-7.339843,21.836997
134,5.186176,-7.999141,21.085912
135,5.473642,-8.276866,20.169270
136,5.039452,-8.624710,19.338317
137,5.319938,-8.867354,18.409635
138,5.669001,-9.190555,17.530034
139,5.894110,-9.280127,16.559827
140,6.856893,-9.086447,16.371310
141,7.202943,-9.406323,15.489308
142,7.396834,-9.492678,14.512093
143,7.670129,-9.986335,13.686494
144,8.396324,-10.673404,13.710527
145,8.258709,-10.155023,12.866523
146,7.444338,-10.330955,12.313488
147,7.590325,-10.659121,11.380217
148,7.741118,-10.770458,10.397941
149,8.195350,-10.748099,9.507338
150,7.259362,-10.520916,9.776251
151,8.022992,-10.666104,10.405369
152,8.818263,-10.060571,10.375792
153,9.708678,-10.015619,9.922869
154,10.384030,-10.010374,10.660346
155,11.059408,-10.084414,11.394091
156,11.975099,-10.077199,11.795911
157,12.844980,-10.382927,12.182998
158,13.563546,-10.630558,12.832876
159,14.420936,-10.958239,13.229749
160,15.082135,-11.223669,13.931434
161,15.190917,-12.063926,13.400272
162,16.049746,-11.905782,13.887513
163,16.756813,-12.094357,14.569053
164,16.084341,-12.230574,13.841573
165,16.625635,-12.754459,14.499255
166,16.466126,-12.164588,13.707669
167,15.839828,-12.802287,14.156101
168,14.965066,-12.604298,13.713843
169,14.086637,-12.500002,13.247490
170,13.480896,-12.065265,12.581096
171,12.639350,-11.840568,12.089860
172,11.972461,-11.630666,11.374878
173,12.415763,-12.027208,12.178767
174,11.774053,-12.039335,11.411915
175,12.606322,-12.314305,11.893289
176,12.768594,-12.962089,11.148948
177,12.954901,-13.385585,10.262415
178,12.068739,-13.218187,9.830333
179,11.378047,-12.552642,10.113166
180,12.348370,-12.650839,10.334143
181,11.555533,-12.309682,9.829146
182,12.142826,-12.361552,9.021435
183,12.925530,-12.846417,9.411667
184,13.781999,-12.981868,9.909777
185,14.250584,-13.284283,9.079733
186,13.372612,-12.806826,9.045094
187,14.253918,-12.956556,8.596897
188,13.707987,-12.698337,9.393943
189,14.049365,-12.989826,8.500357
190,14.127607,-13.244831,7.536588
191,14.590537,-13.705446,6.779271
192,15.541525,-13.630853,6.479176
193,15.629483,-13.923364,5.526968
194,14.645260,-13.897080,5.701938
195,13.856393,-13.325728,5.475564
196,14.023382,-13.427600,4.494883
197,14.196572,-13.769901,3.571392
198,13.931750,-13.508763,4.499657
199,13.882475,-13.777685,3.537757
200,14.022358,-14.086775,2.597067
201,13.584758,-14.364692,1.741925
202,13.710761,-14.727134,0.818475
203,13.470268,-13.851656,0.399308
204,14.034215,-13.594473,1.184050
205,13.866676,-12.907942,1.891584
206,13.544551,-13.201046,0.991404
207,14.537528,-13.160042,1.102371
208,13.962121,-12.926661,1.886233
209,14.809262,-13.453435,1.816521
210,14.526598,-13.082146,2.700967
211,14.093641,-12.844314,3.570441
212,13.161351,-12.840398,3.932130
213,13.098834,-12.269046,4.750451
214,13.444448,-12.456219,5.669971
215,12.767612,-11.988637,6.238532
216,11.949495,-12.040466,6.811242
217,12.827464,-12.478180,7.005088
218,12.188958,-12.186697,7.717372
219,12.493450,-12.125590,8.667925
220,12.141012,-12.354736,7.760577
221,11.565912,-12.320192,8.577930
222,11.932178,-12.183505,9.498346
223,11.016274,-12.373533,9.851911
224,10.743703,-11.628372,10.460548
225,10.642054,-11.147919,11.331658
226,11.148404,-11.551296,10.569493
227,10.272539,-11.598443,11.049740
228,9.740496,-11.139994,11.761606
229,9.031236,-11.087115,12.464567
230,8.038317,-11.171002,12.548684
231,7.284867,-10.697244,13.004607
232,6.353425,-10.352142,12.889192
233,6.173010,-9.862126,12.036353
234,5.207889,-9.792297,11.784035
235,5.479310,-9.996254,10.843433
236,4.672841,-9.405535,10.869091
237,4.903726,-8.847483,10.072052
238,3.942382,-8.588477,10.165512
239,3.420606,-8.717012,9.322168
240,3.457664,-8.881363,10.307874
241,3.648765,-8.340409,9.488819
242,2.938031,-8.366667,10.191791
243,2.412866,-7.856625,10.873009
244,2.576039,-8.816729,10.645906
245,2.010876,-8.687021,11.460625
246,1.236595,-8.566098,10.839444
247,0.991186,-8.154337,11.717070
248,1.947729,-8.435577,11.640065
249,1.340789,-7.658609,11.807233
250,1.433588,-8.054491,12.720833
251,1.716249,-7.203505,12.278199
252,2.217691,-6.510611,11.760074
253,2.233590,-5.932500,12.575877
254,1.804175,-5.041875,12.725511
255,1.210458,-5.718750,13.160645
256,1.754450,-4.879695,13.168389
257,1.850512,-4.078835,13.759486
258,1.977502,-4.758083,13.036647
259,2.058498,-4.083220,13.770132
260,1.458909,-4.296312,14.541550
261,1.275841,-3.316253,14.464283
262,1.669027,-2.628691,13.853822
263,2.592127,-2.321765,13.622127
264,3.093474,-2.533415,14.461088
265,3.542361,-3.218360,13.887197
266,4.279251,-2.690594,14.309638
267,4.506139,-2.335178,15.216392
268,3.843739,-2.962828,14.807391
269,3.487522,-2.840554,15.733759
270,2.658047,-3.393421,15.813198
271,2.584336,-2.969486,16.715886
272,2.257513,-3.688263,16.102252
273,3.064772,-3.105097,16.011414
274,3.575642,-2.253515,16.128965
275,3.782702,-1.723638,16.951374
276,4.105341,-0.919683,16.451814
277,4.200063,-0.702243,17.423281
278,3.881855,-0.801108,18.366133
279,4.382426,-1.110932,17.557778
280,4.875219,-1.294005,16.707108
281,5.771114,-0.963280,16.410472
282,5.159558,-0.996783,17.200963
283,4.297063,-1.353622,17.559807
284,4.932507,-0.606518,17.364752
285,4.579771,-0.135085,18.173039
286,5.341659,0.414476,18.515834
287,4.765041,0.613103,19.308336
288,5.440135,1.350376,19.334349
289,4.450135,1.212578,19.304174
290,3.926322,1.500083,20.106023
291,3.733592,1.777134,21.047351
292,3.165255,1.193153,20.467731
293,2.174606,1.234250,20.597833
294,1.433580,0.644386,20.276989
295,0.534984,0.490302,20.687822
296,1.260612,1.124706,20.954274
297,0.552333,0.501079,20.623471
298,0.642971,0.063529,19.728856
299,1.378650,-0.161265,19.089917
