frame_idx,x,y,z
0,-0.000000,0.000000,0.000000
1,-0.332707,0.292299,0.896586
2,-0.497849,0.241437,1.875422
3,-0.581015,0.138317,2.858498
4,-0.593098,0.036173,3.845566
5,-1.383023,0.441759,4.286373
6,-1.067798,0.186164,5.163145
7,-1.557176,0.924498,5.533579
8,-1.743254,1.257693,6.463380
9,-1.704427,1.503156,7.420750
10,-1.948620,1.428651,8.357450
11,-2.231777,1.336739,9.272365
12,-1.958819,1.315879,10.206193
13,-1.612190,1.125912,11.160521
14,-2.146269,1.403446,11.913819
15,-2.244753,1.366336,12.896546
16,-2.365221,1.432846,13.887314
17,-2.254303,1.727640,14.219585
18,-2.222786,1.556735,15.175356
19,-1.923275,1.446485,16.132212
20,-1.912836,1.445175,17.130374
21,-1.889046,1.351176,18.126061
22,-2.222301,1.376196,19.022420
23,-2.391996,1.504794,19.994481
24,-2.970676,1.517999,20.895151
25,-2.814423,1.441893,21.713275
26,-2.941806,1.686357,22.607898
27,-2.667087,1.544981,23.139177
28,-2.749175,1.596348,24.133808
29,-2.719773,1.509751,25.094868
30,-1.939737,1.689690,25.106754
31,-1.790712,1.412832,25.313603
32,-1.973712,1.928739,26.257796
33,-2.219704,1.934676,26.639134
34,-2.740219,2.185263,26.888114
35,-3.294278,2.478443,26.075078
36,-3.347760,2.593498,27.060871
37,-3.870075,2.294154,26.268589
38,-3.748943,2.283329,25.290222
39,-3.701381,2.073676,24.305539
40,-3.227293,1.605322,23.651219
41,-3.432953,1.103756,22.735848
42,-3.579239,0.406110,22.276088
43,-3.740553,0.021900,21.294662
44,-3.772458,-0.044876,20.284197
45,-3.782414,-0.236059,19.268866
46,-4.325066,-0.230116,18.562802
47,-4.279018,-0.347147,17.564011
48,-4.200153,-0.465121,16.564186
49,-4.224189,-0.211636,15.609913
50,-4.275401,0.126327,14.644613
51,-4.138206,-0.415029,14.108601
52,-3.946017,-0.653863,13.140755
53,-4.012118,-0.706740,12.113061
54,-3.694894,-1.368471,11.580312
55,-3.679656,-1.369607,10.571231
56,-3.618413,-1.639203,9.588296
57,-3.449241,-1.538715,8.621791
58,-2.594357,-1.701497,9.278916
59,-1.878089,-2.373163,9.033998
60,-1.829646,-2.167045,8.066933
61,-1.879080,-1.929057,7.121091
62,-1.700967,-1.750268,6.150981
63,-1.365053,-2.019897,5.220188
64,-1.107093,-2.155419,4.242151
65,-0.786513,-2.296700,3.291767
66,-0.093569,-2.925794,3.307006
67,0.411281,-3.698991,3.359295
68,0.472945,-3.767153,2.361449
69,1.208911,-4.440088,2.378636
70,1.162549,-4.344802,1.374931
71,1.289913,-4.290985,0.356290
72,0.834515,-4.322911,1.198600
73,1.184268,-4.394397,0.156034
74,1.630207,-4.754440,-0.764057
75,2.000275,-5.504376,-1.378965
76,2.352627,-6.229742,-2.061086
77,1.812253,-5.438039,-2.867245
78,2.018183,-5.505642,-3.981324
79,1.959753,-6.504690,-4.158805
80,1.882790,-6.122870,-5.269343
81,2.007288,-6.215166,-6.314268
82,2.502681,-5.568280,-7.024219
83,3.364865,-4.994598,-7.332634
84,3.456069,-5.169162,-8.295626
85,3.553373,-5.468547,-9.211286
86,3.850126,-5.531669,-8.179484
87,3.719520,-5.695622,-7.090150
88,2.994081,-5.293405,-6.493613
89,2.458472,-4.708675,-5.895710
90,2.330594,-4.540896,-4.822891
91,2.617637,-3.537318,-4.592906
92,2.556769,-3.655317,-3.504216
93,2.501965,-3.630360,-2.399542
94,2.370481,-3.783995,-1.301224
95,2.729225,-4.083973,-0.276904
96,2.836982,-3.811443,0.726595
97,2.259394,-3.844992,1.616063
98,1.804623,-3.023271,1.870884
99,1.489039,-2.880627,2.839566
100,1.450232,-2.711749,1.887598
101,1.236681,-3.454885,2.542355
102,0.985011,-3.377723,3.531158
103,0.886328,-3.487219,4.536952
104,0.880241,-3.627356,5.535262
105,0.905660,-3.747454,6.544529
106,1.496906,-3.937998,7.260585
107,1.798325,-4.610586,7.897323
108,2.026906,-4.619715,8.872281
109,2.162703,-4.712602,9.846713
110,2.795004,-4.579760,10.436907
111,2.062005,-4.253770,10.728051
112,2.186697,-4.062131,11.740805
113,1.719298,-4.173225,12.432227
114,1.735759,-3.793950,13.419254
115,2.376445,-3.838047,14.103885
116,2.250791,-3.780996,15.098491
117,2.133274,-3.746524,16.111486
118,2.010404,-3.135482,17.047303
119,1.804089,-2.903925,18.077665
120,1.602521,-2.796545,19.090827
121,1.614971,-2.784833,20.103156
122,2.078491,-2.462463,20.671536
123,2.623474,-2.556169,19.923318
124,2.393889,-2.316321,20.924780
125,2.044451,-1.845749,21.907714
126,1.950816,-1.557036,22.919764
127,2.507195,-2.509663,22.625056
128,2.092935,-2.359147,22.717635
129,1.942570,-2.997520,22.157960
130,1.649964,-3.414814,21.215946
131,1.555745,-3.698350,20.227416
132,1.416950,-3.770987,19.204530
133,1.261228,-3.756521,18.209388
134,0.995197,-4.175769,17.334595
135,0.951172,-4.258913,16.331909
136,0.298484,-4.318961,15.555047
137,0.167243,-4.376949,14.539340
138,0.102628,-4.488239,13.542213
139,-0.020332,-4.343413,12.548353
140,0.552713,-4.170055,12.167963
141,0.547654,-4.402998,11.126119
142,0.485888,-4.340763,10.102750
143,0.505232,-4.634881,9.139057
144,0.998930,-5.227368,8.856184
145,0.729157,-4.782976,8.065893
146,0.039715,-4.859585,7.701606
147,-0.037324,-5.066706,6.657367
148,-0.131569,-5.040896,5.615633
149,0.080369,-4.873255,4.630459
150,-3.683828,5.492174,-2.395753
151,-3.596175,5.599941,-3.281351
152,-3.326729,4.788958,-3.788447
153,-2.453620,4.387245,-4.114973
154,-2.560809,4.427878,-5.010156
155,-2.675335,4.546058,-5.879391
156,-2.413001,4.403493,-6.713160
157,-2.066937,4.547684,-7.541482
158,-2.016323,4.714213,-8.461826
159,-1.683692,4.819789,-9.320443
160,-1.673851,4.957012,-10.287675
161,-0.957371,5.592113,-10.075820
162,-0.870736,5.201215,-10.974175
163,-0.812758,5.221882,-11.965458
164,-0.799914,5.384169,-11.036226
165,-0.666494,5.739300,-11.961116
166,-0.483911,5.068500,-11.219088
167,-0.931075,5.962849,-11.219075
168,-1.240410,5.970681,-10.328197
169,-1.539843,6.054417,-9.425719
170,-1.694878,5.689180,-8.520397
171,-2.019815,5.694264,-7.572716
172,-2.121452,5.621082,-6.554615
173,-2.257876,6.008513,-7.436043
174,-2.306084,6.138101,-6.385441
175,-2.004141,6.236901,-7.224648
176,-1.264356,6.714199,-6.727808
177,-0.574876,6.906283,-6.143391
178,-1.130734,7.052642,-5.196166
179,-2.200542,6.748455,-4.926457
180,-1.634576,6.464513,-5.692746
181,-2.154147,6.306653,-4.852393
182,-1.247005,5.958290,-4.565099
183,-0.754528,6.189505,-5.328256
184,-0.369118,6.041589,-6.269208
185,0.519510,5.904293,-5.919458
186,-0.406450,5.707593,-5.468671
187,0.533625,5.346681,-5.665965
188,-0.520549,5.445512,-6.076935
189,0.258319,5.296219,-5.573476
190,0.837339,5.245415,-4.813860
191,1.774785,5.322218,-4.385244
192,2.615875,4.783152,-4.694731
193,3.211970,4.760056,-3.989002
194,2.299390,5.145893,-3.663700
195,1.419038,4.858343,-3.161595
196,1.936075,4.598254,-2.474468
197,2.607828,4.565002,-1.772160
198,1.835184,4.707766,-2.514532
199,2.244766,4.695394,-1.657116
200,2.809282,4.665488,-0.873974
201,2.882707,4.855534,0.129596
202,3.463452,4.871310,0.967975
203,2.942978,4.107166,1.510925
204,2.916709,3.857863,0.595903
205,2.153181,3.532719,0.058326
206,2.454602,3.655913,1.026430
207,3.151943,3.218129,0.437407
208,2.268161,3.461924,0.068329
209,3.201468,3.550922,-0.260106
210,2.423802,3.567970,-0.826581
211,1.542858,3.784702,-1.360297
212,0.617842,4.266439,-1.181422
213,-0.106149,4.050993,-1.851760
214,-0.125523,4.365687,-2.789659
215,-1.053027,4.386861,-2.899847
216,-1.961250,4.998859,-2.734202
217,-1.107575,5.079659,-3.462012
218,-1.998882,5.287448,-3.679737
219,-2.225723,5.375529,-4.694391
220,-1.739686,5.462120,-3.800563
221,-2.611616,5.955714,-3.969994
222,-2.879030,5.954854,-4.943082
223,-3.558134,6.618852,-4.624696
224,-4.477796,6.183703,-4.934682
225,-5.293747,5.971752,-5.593701
226,-4.210445,5.895064,-5.463511
227,-5.082028,6.435725,-5.204503
228,-6.250349,6.404399,-5.251041
229,-7.083559,6.822845,-5.448604
230,-7.765109,7.255811,-4.942842
231,-8.677765,7.228964,-4.980211
232,-9.229867,7.355481,-4.406952
233,-8.939964,6.766111,-3.871345
234,-9.364428,7.002235,-3.179725
235,-8.281711,6.951144,-3.046125
236,-8.959694,6.761385,-2.598618
237,-8.384591,5.952676,-2.659150
238,-9.064964,6.084787,-2.110599
239,-8.678569,6.149621,-1.330188
240,-9.222095,6.627103,-2.133972
241,-8.676999,5.745018,-2.263360
242,-9.616832,6.169429,-1.950086
243,-10.609048,6.045680,-1.947508
244,-9.929187,6.832012,-2.121015
245,-10.879572,7.132857,-2.127261
246,-10.820472,7.101891,-1.357572
247,-11.761187,7.044276,-1.711901
248,-11.017732,7.061648,-2.711380
249,-7.075730,10.187049,-4.472978
250,-6.009779,9.856314,-4.308089
251,-6.653922,10.467044,-3.980669
252,-7.205034,11.368755,-3.426144
253,-7.018752,11.128521,-2.664530
254,-7.629376,10.826953,-2.090762
255,-6.991718,10.040312,-2.744163
256,-7.367655,10.602838,-2.044045
257,-7.508264,10.511006,-1.121874
258,-7.420600,10.883586,-2.093186
259,-7.358977,10.721442,-1.154535
260,-6.944903,9.804833,-1.187857
261,-7.718907,9.743952,-0.614218
262,8.787568,8.697884,0.228171
263,7.787568,8.697884,0.228170
264,7.680679,7.935038,-0.560411
265,7.355176,7.362328,0.011822
266,6.596047,7.406520,-0.785147
267,6.496171,7.314422,-1.889875
268,7.109780,7.208802,-1.231147
269,7.656202,7.118795,-2.115474
270,8.506084,6.983360,-1.932682
271,8.646299,7.109249,-3.085446
272,8.851729,6.878862,-2.256628
273,7.841926,7.213038,-2.731819
274,7.137620,7.761105,-3.482814
275,7.171343,7.760510,-4.561413
276,6.313879,8.737417,-4.560313
277,6.616569,8.463184,-5.470178
278,7.488280,7.957348,-6.095413
279,6.556216,7.916195,-5.567381
280,5.646187,7.939083,-5.082139
281,4.474039,8.068957,-5.400909
282,5.263851,7.987017,-5.807128
283,6.157003,7.899747,-5.603007
284,5.167968,8.552080,-6.087619
285,5.506608,8.858119,-6.854917
286,4.727538,8.910601,-7.855999
287,5.235478,9.006796,-8.397709
288,4.108676,9.493566,-9.317000
289,4.608166,9.778567,-8.828183
290,5.351426,9.837613,-9.273224
291,5.871376,9.647847,-10.044814
292,5.807647,9.751052,-9.039246
293,6.740337,10.210719,-8.401220
294,6.812057,10.269848,-7.570665
295,8.145439,10.198000,-6.915227
296,7.555536,10.348010,-7.981045
297,7.688692,10.262529,-7.240068
298,6.939752,10.352715,-6.628144
299,5.931003,10.187166,-6.671498
